trajectory_idx,model,avg_rmse
1,SE,8.07744731905074e-05
1,iSE,7.87038443981896e-05
1,iDSE,7.894162794057066e-05
1,iiSE,8.464237414547137e-05
1,iiDSE,8.413422510816037e-05
1,CV,7.875017458257884e-05
2,SE,8.914205127343817e-05
2,iSE,8.202831826721556e-05
2,iDSE,8.171687689426097e-05
2,iiSE,0.00010618401037917691
2,iiDSE,0.00010601649614648372
2,CV,8.71165018809545e-05
3,SE,5.9662227258519605e-05
3,iSE,5.656990750382097e-05
3,iDSE,5.4455898905187135e-05
3,iiSE,6.575421907448717e-05
3,iiDSE,6.495107694310356e-05
3,CV,6.639682333750074e-05
4,SE,7.212317195852882e-05
4,iSE,7.534632038512705e-05
4,iDSE,7.2256393062711e-05
4,iiSE,7.776071899456313e-05
4,iiDSE,7.736107436861282e-05
4,CV,7.34741654674175e-05
5,SE,0.00010783818489562749
5,iSE,9.210934510271379e-05
5,iDSE,8.92639165932596e-05
5,iiSE,0.0002045072406625565
5,iiDSE,0.00020461993836322264
5,CV,9.918661039466474e-05
