id,timestep,position_x,position_y,position_z,velocity_x,velocity_y,velocity_z,odor,velocity_a,acceleration_x,acceleration_y,acceleration_z,acceleration_a,heading_xy,heading_xz,heading_xyz,angular_velocity_x,angular_velocity_y,angular_velocity_z,angular_velocity_a,angular_acceleration_x,angular_acceleration_y,angular_acceleration_z,angular_acceleration_a,distance_from_wall,trajectory_id
19024708,0,-0.184673,0.00822244,0.0367399,0.209996,-0.163289,-0.0982429,509.531,0.283572,0.0707,-0.0516,-0.34191,0.352936,142.132,154.928,137.777,0.626795,0.800817,0.00875151,1.01698,68.5066,93.82,-9.18367,116.532,0.11326,s20140924_123536_3110
19024709,1,-0.18257,0.00658783,0.0357461,0.210703,-0.163805,-0.101662,562.662,0.285592,0.29985,-0.26665,-0.837655,0.928805,142.138,154.243,137.542,1.31186,1.73902,-0.0830851,2.17992,100.998,139.451,-15.0658,172.841,0.114254,s20140924_123536_3110
19024710,2,-0.180443,0.004932,0.0346736,0.215993,-0.168622,-0.114996,624.175,0.297171,0.851,-0.7897,-1.97755,2.29315,142.021,151.969,136.621,2.64676,3.58983,-0.292565,4.46965,117.214,160.667,-15.9741,199.52,0.115326,s20140924_123536_3110
19024711,3,-0.178229,0.00319485,0.0334032,0.227723,-0.179599,-0.141213,691.452,0.322575,1.35885,-1.25815,-3.16,3.66265,141.738,148.197,134.907,3.65615,4.95235,-0.402568,6.16889,65.1087,82.4458,-0.78445,105.057,0.116597,s20140924_123536_3110
19024712,4,-0.175876,0.00132932,0.0318135,0.24317,-0.193785,-0.178196,757.453,0.358383,1.50655,-1.35905,-3.86815,4.36799,141.448,143.766,132.728,3.94893,5.23875,-0.308254,6.56761,0.0464761,-10.6886,11.6987,15.8464,0.118187,s20140924_123536_3110
19024713,5,-0.173368,-0.000676884,0.029828,0.257854,-0.20678,-0.218576,805.514,0.39626,1.1703,-1.03735,-3.83095,4.13786,141.273,139.713,130.596,3.65708,4.73858,-0.168595,5.98805,-33.7364,-48.6957,7.14794,59.67,0.120172,s20140924_123536_3110
19024714,6,-0.170739,-0.00278881,0.0274558,0.266576,-0.214532,-0.254815,812.328,0.426635,0.43065,-0.4598,-3.27725,3.33725,141.174,136.292,128.67,3.2742,4.26483,-0.165295,5.37927,-39.4675,-36.6322,-9.34976,54.6536,0.122544,s20140924_123536_3110
19024715,7,-0.168066,-0.0049465,0.0247548,0.266467,-0.215976,-0.284121,766.617,0.445393,-0.47505,0.1216,-2.42695,2.47599,140.975,133.163,126.746,2.86773,4.00593,-0.35559,4.93941,-55.6072,-30.2529,-28.067,69.2471,0.125245,s20140924_123536_3110
19024716,8,-0.165441,-0.0070906,0.0218069,0.257075,-0.2121,-0.303354,682.065,0.450664,-1.3367,0.5385,-1.2691,1.92025,140.476,130.279,124.781,2.16206,3.65977,-0.726635,4.31236,-90.4634,-40.6966,-47.0454,109.787,0.128193,s20140924_123536_3110
19024717,9,-0.162951,-0.00917845,0.0187313,0.239733,-0.205206,-0.309503,587.825,0.442011,-2.03415,0.70865,0.0547,2.15475,139.437,127.76,122.845,1.05846,3.192,-1.2965,3.60418,-131.094,-46.8369,-69.2833,155.498,0.131269,s20140924_123536_3110
19024718,10,-0.160666,-0.0111934,0.0156615,0.216392,-0.197927,-0.30226,509.029,0.421143,-2.5557,0.65135,1.3537,2.96452,137.552,125.599,120.919,-0.459822,2.72304,-2.1123,3.47681,-177.336,-44.039,-96.8975,206.825,0.134338,s20140924_123536_3110
19024719,11,-0.158638,-0.0131421,0.0127281,0.188619,-0.192179,-0.282429,455.707,0.390226,-2.93105,0.44645,2.52755,3.89601,134.464,123.737,118.905,-2.48826,2.31122,-3.23445,4.68987,-237.025,-36.6852,-132.048,273.794,0.136858,s20140924_123536_3110
19024720,12,-0.156904,-0.0150456,0.0100492,0.157771,-0.188998,-0.251709,425.281,0.352093,-3.1797,0.17485,3.50715,4.73721,129.854,122.079,116.622,-5.20031,1.98933,-4.75326,7.32081,-318.038,-25.7127,-178.715,365.716,0.134954,s20140924_123536_3110
19024721,13,-0.155489,-0.0169316,0.00772292,0.125025,-0.188682,-0.212286,410.259,0.310318,-3.32443,-0.1015,4.2558,5.40129,123.529,120.496,113.759,-8.84902,1.79697,-6.80876,11.309,-415.568,-10.7018,-234.299,477.187,0.133068,s20140924_123536_3110
19024722,14,-0.154407,-0.0188281,0.0058244,0.0912824,-0.191028,-0.166593,403.734,0.269402,-3.37559,-0.3379,4.7419,5.83047,115.541,118.72,109.806,-13.5117,1.7753,-9.43923,16.5776,-479.358,3.97658,-267.093,548.761,0.131172,s20140924_123536_3110
19024723,15,-0.153663,-0.020759,0.00440256,0.0575132,-0.19544,-0.117448,401.217,0.235157,-3.31231,-0.50395,4.93315,5.96333,106.398,116.091,104.157,-18.4362,1.8765,-12.1506,22.1597,-403.758,6.39972,-207.573,454.036,0.129241,s20140924_123536_3110
19024724,16,-0.153252,-0.0227411,0.00347668,0.0250362,-0.201107,-0.0679301,400.353,0.213741,-3.09248,-0.59365,4.82151,5.75872,97.0964,110.232,96.7267,-21.5869,1.90329,-13.5907,25.5797,-122.185,-8.59647,-17.7355,123.764,0.127259,s20140924_123536_3110
19024725,17,-0.153152,-0.024783,0.00303528,-0.00433647,-0.207313,-0.0210178,400.09,0.208421,-2.6877,-0.61985,4.40409,5.19653,88.8017,78.3421,88.8078,-20.8799,1.70457,-12.5053,24.3979,252.194,-28.1726,210.555,329.741,0.125217,s20140924_123536_3110
19024726,18,-0.153322,-0.0268873,0.00303719,-0.0287177,-0.213504,0.0201517,400.02,0.216367,-2.12996,-0.59115,3.67738,4.29061,82.3393,35.058,82.3728,-16.543,1.33984,-9.3796,19.0641,500.895,-39.2077,331.987,602.202,0.123113,s20140924_123536_3110
19024727,19,-0.153706,-0.0290512,0.00340901,-0.0469357,-0.219136,0.0525298,400.004,0.23018,-1.49522,-0.50445,2.69266,3.12099,77.9107,48.219,78.2344,-10.862,0.920416,-5.8656,12.3788,548.58,-43.8138,318.345,635.77,0.120949,s20140924_123536_3110
19024728,20,-0.154239,-0.0312661,0.00405144,-0.058622,-0.223593,0.0740049,400.001,0.242708,-0.867565,-0.36745,1.54546,1.81001,75.3088,51.616,76.0229,-5.57135,0.463563,-3.0127,6.35069,496.209,-49.9221,246.563,556.335,0.118734,s20140924_123536_3110
19024729,21,-0.154858,-0.0335178,0.00484897,-0.064287,-0.226485,0.0834391,400.0,0.249781,-0.309465,-0.2085,0.32265,0.493299,74.1536,52.387,75.0857,-0.937807,-0.0780267,-0.934342,1.32611,448.516,-59.2375,185.455,488.947,0.116482,s20140924_123536_3110
19024730,22,-0.155508,-0.0357904,0.00567884,-0.0648113,-0.227763,0.0804579,400.0,0.2501,0.170255,-0.058,-0.895525,0.913409,74.116,51.1475,74.9809,3.39896,-0.721186,0.696406,3.54373,432.492,-68.8726,152.16,463.622,0.11421,s20140924_123536_3110
